sample_id,date,location,observer_name,season,weather_condition,land_use_type,temperature_c,humidity_pct,wind_speed_kmh,precipitation_mm,air_quality_index,uv_index,visibility_km
ENV_001,2024-11-04,Everglades NP,Carol Singh,Autumn,Foggy,Forest,2.4,70.8,71.4,28.4,32,6.5,2.6
ENV_002,2024-02-07,Zion NP,David Lee,Winter,Foggy,Coastal,-10.3,72.6,33.6,48.2,124,6.5,40.7
ENV_003,2024-01-25,Glacier NP,Emma Johnson,Winter,Partly Cloudy,Grassland,1.1,91.8,26.9,55.9,33,4.2,18.6
ENV_004,2024-06-20,Yellowstone NP,Isabel Torres,Summer,Clear,Desert,25.3,25.9,23.5,2.2,170,6.8,43.2
ENV_005,2024-10-07,Everglades NP,Emma Johnson,Autumn,Clear,Urban Fringe,13.3,37.5,8.1,8.9,81,5.0,41.9
ENV_006,2024-03-12,Rocky Mountain NP,James Wilson,Spring,Foggy,Grassland,11.0,60.1,19.6,70.3,128,4.2,49.5
ENV_007,2024-11-23,Yosemite Valley,David Lee,Autumn,Snowy,Forest,10.9,80.4,32.1,63.2,26,2.3,47.2
ENV_008,2024-12-11,Yellowstone NP,Carol Singh,Winter,Overcast,Grassland,-10.7,38.5,44.9,39.9,77,8.2,22.0
ENV_009,2024-10-13,Great Smoky Mountains,Isabel Torres,Autumn,Light Rain,Forest,7.8,76.7,68.9,89.8,49,6.9,39.8
ENV_010,2024-07-20,Yellowstone NP,Isabel Torres,Summer,Overcast,Alpine,21.3,84.6,0.9,19.1,194,1.3,44.4
ENV_011,2024-05-25,Grand Canyon NP,Carol Singh,Spring,Light Rain,Forest,15.9,91.5,70.1,20.0,77,10.7,38.3
ENV_012,2024-09-04,Zion NP,James Wilson,Autumn,Partly Cloudy,Grassland,15.9,48.0,12.9,30.4,145,10.1,30.3
ENV_013,2024-08-01,Olympic NP,David Lee,Summer,Clear,Grassland,22.2,85.9,75.8,18.1,31,8.1,41.0
ENV_014,2024-09-25,Zion NP,Carol Singh,Autumn,Overcast,Alpine,4.0,85.4,33.9,61.1,64,10.2,38.0
ENV_015,2024-12-07,Glacier NP,Henry Patel,Winter,Heavy Rain,Desert,-0.7,29.1,18.0,31.9,96,0.2,28.1
ENV_016,2024-10-08,Yosemite Valley,David Lee,Autumn,Clear,Forest,2.1,84.5,5.7,65.2,70,3.1,24.8
ENV_017,2024-09-05,Acadia NP,Henry Patel,Autumn,Partly Cloudy,Urban Fringe,13.6,55.5,32.6,80.0,34,1.1,22.1
ENV_018,2024-07-14,Rocky Mountain NP,Alice Chen,Summer,Light Rain,Coastal,29.3,45.4,68.9,36.5,73,2.1,27.3
ENV_019,2024-03-14,Rocky Mountain NP,Henry Patel,Spring,Snowy,Urban Fringe,8.1,84.2,7.8,51.6,176,11.0,42.0
ENV_020,2024-02-25,Yellowstone NP,Henry Patel,Winter,Partly Cloudy,Urban Fringe,2.0,50.1,4.7,13.3,107,0.0,20.1
ENV_021,2024-08-10,Zion NP,Henry Patel,Summer,Partly Cloudy,Grassland,28.5,42.3,77.5,47.9,158,8.1,4.0
ENV_022,2024-06-02,Zion NP,Carol Singh,Summer,Clear,Alpine,21.0,26.0,14.9,23.8,162,0.7,43.2
ENV_023,2024-07-04,Acadia NP,James Wilson,Summer,Clear,Alpine,38.8,26.1,52.6,28.5,154,5.8,46.8
ENV_024,2024-04-22,Grand Canyon NP,Carol Singh,Spring,Foggy,Coastal,17.2,42.5,25.3,31.5,28,0.1,31.4
ENV_025,2024-10-04,Olympic NP,Carol Singh,Autumn,Overcast,Forest,3.2,85.9,29.6,23.1,50,4.8,27.6
ENV_026,2024-05-20,Zion NP,Alice Chen,Spring,Foggy,Urban Fringe,21.7,61.6,74.5,82.6,36,10.3,7.6
ENV_027,2024-02-04,Olympic NP,James Wilson,Winter,Partly Cloudy,Coastal,-0.2,45.7,55.0,12.4,77,5.6,13.3
ENV_028,2024-01-03,Yosemite Valley,Alice Chen,Winter,Overcast,Urban Fringe,-2.3,29.8,78.4,66.3,51,8.2,28.0
ENV_029,2024-07-18,Great Smoky Mountains,Isabel Torres,Summer,Clear,Urban Fringe,20.2,47.7,44.2,3.8,120,1.4,16.1
ENV_030,2024-01-12,Rocky Mountain NP,Frank Okafor,Winter,Snowy,Alpine,-10.8,86.3,32.5,20.0,168,8.2,46.4
ENV_031,2024-04-28,Great Smoky Mountains,Grace Kim,Spring,Clear,Grassland,7.8,75.2,26.6,82.0,115,8.8,43.3
ENV_032,2024-04-09,Grand Canyon NP,Alice Chen,Spring,Snowy,Desert,7.7,36.7,65.3,73.1,127,3.8,41.2
ENV_033,2024-04-08,Glacier NP,Emma Johnson,Spring,Snowy,Forest,5.4,92.5,22.3,27.4,174,5.6,34.3
ENV_034,2024-09-11,Olympic NP,Carol Singh,Autumn,Heavy Rain,Wetland,17.0,22.9,47.7,14.8,98,8.0,16.4
ENV_035,2024-10-17,Everglades NP,Emma Johnson,Autumn,Clear,Coastal,3.9,52.7,41.6,81.5,147,7.6,47.1
ENV_036,2024-12-22,Glacier NP,James Wilson,Winter,Overcast,Coastal,-11.1,83.6,57.6,34.5,86,5.6,33.7
ENV_037,2024-06-13,Everglades NP,Grace Kim,Summer,Foggy,Desert,33.9,70.8,72.2,27.7,167,6.3,20.9
ENV_038,2024-01-10,Acadia NP,James Wilson,Winter,Foggy,Wetland,-9.3,54.9,35.4,34.4,64,5.6,39.9
ENV_039,2024-12-06,Acadia NP,Frank Okafor,Winter,Clear,Urban Fringe,-1.8,91.4,18.8,22.7,89,2.5,10.8
ENV_040,2024-01-02,Rocky Mountain NP,Henry Patel,Winter,Light Rain,Coastal,-10.1,63.2,57.5,38.0,108,5.4,13.0
ENV_041,2024-11-23,Rocky Mountain NP,Grace Kim,Autumn,Partly Cloudy,Grassland,2.1,80.3,55.7,68.8,128,0.6,13.2
ENV_042,2024-02-15,Zion NP,Isabel Torres,Winter,Heavy Rain,Wetland,-12.3,91.3,71.3,37.2,166,9.0,44.7
ENV_043,2024-07-27,Great Smoky Mountains,Henry Patel,Summer,Light Rain,Wetland,38.1,76.4,67.2,22.3,80,8.4,26.5
ENV_044,2024-11-08,Olympic NP,David Lee,Autumn,Overcast,Wetland,6.4,44.0,43.2,11.6,45,1.7,19.8
ENV_045,2024-03-23,Glacier NP,Isabel Torres,Spring,Light Rain,Desert,8.6,24.7,66.6,47.3,109,10.0,29.6
ENV_046,2024-12-01,Grand Canyon NP,Henry Patel,Winter,Clear,Wetland,2.1,42.4,31.2,61.2,117,5.9,37.0
ENV_047,2024-10-08,Yellowstone NP,Alice Chen,Autumn,Light Rain,Wetland,9.8,70.2,63.9,28.2,195,1.8,23.9
ENV_048,2024-03-20,Acadia NP,James Wilson,Spring,Foggy,Forest,14.1,26.3,34.3,91.6,128,2.0,13.7
ENV_049,2024-06-07,Grand Canyon NP,Emma Johnson,Summer,Snowy,Urban Fringe,29.1,51.6,66.8,16.9,130,0.2,27.4
ENV_050,2024-06-08,Yosemite Valley,Alice Chen,Summer,Partly Cloudy,Grassland,33.0,82.9,49.7,39.1,71,1.4,33.8
ENV_051,2024-10-07,Glacier NP,Carol Singh,Autumn,Heavy Rain,Alpine,9.4,92.3,57.5,26.8,51,10.6,6.3
ENV_052,2024-01-10,Grand Canyon NP,Grace Kim,Winter,Foggy,Grassland,-3.5,25.7,55.2,72.6,170,2.7,35.2
ENV_053,2024-05-28,Acadia NP,Alice Chen,Spring,Overcast,Alpine,16.6,52.1,29.6,82.5,139,7.1,1.6
ENV_054,2024-07-27,Glacier NP,Henry Patel,Summer,Foggy,Grassland,29.8,52.7,58.7,21.7,176,3.0,40.6
ENV_055,2024-09-25,Acadia NP,Emma Johnson,Autumn,Overcast,Urban Fringe,9.7,38.4,74.8,42.0,81,9.7,12.9
ENV_056,2024-08-19,Yosemite Valley,Henry Patel,Summer,Snowy,Wetland,32.2,33.6,17.0,18.9,76,3.7,44.1
ENV_057,2024-12-09,Everglades NP,Bob Martinez,Winter,Partly Cloudy,Coastal,-3.9,50.5,44.4,41.3,71,7.6,32.6
ENV_058,2024-08-15,Everglades NP,Grace Kim,Summer,Foggy,Grassland,35.9,43.0,46.5,4.7,131,6.1,17.8
ENV_059,2024-12-18,Olympic NP,Emma Johnson,Winter,Overcast,Grassland,-8.4,29.0,15.4,56.2,40,8.2,47.6
ENV_060,2024-12-06,Olympic NP,James Wilson,Winter,Snowy,Alpine,-11.2,64.8,78.4,59.1,59,3.3,18.7
ENV_061,2024-05-01,Yosemite Valley,Alice Chen,Spring,Heavy Rain,Wetland,17.0,72.3,10.1,21.4,135,1.1,1.6
ENV_062,2024-05-16,Yosemite Valley,Emma Johnson,Spring,Snowy,Desert,13.1,28.6,5.2,40.7,135,0.8,31.8
ENV_063,2024-01-05,Olympic NP,Bob Martinez,Winter,Partly Cloudy,Forest,-12.0,61.9,33.3,45.0,162,8.7,12.1
ENV_064,2024-09-13,Acadia NP,Grace Kim,Autumn,Overcast,Alpine,9.2,66.6,48.8,42.6,199,1.1,38.4
ENV_065,2024-11-07,Everglades NP,Carol Singh,Autumn,Heavy Rain,Forest,6.2,31.7,32.7,11.9,186,6.5,15.3
ENV_066,2024-04-10,Yellowstone NP,Bob Martinez,Spring,Foggy,Grassland,17.0,89.3,63.0,73.3,170,6.5,40.4
ENV_067,2024-04-14,Great Smoky Mountains,Emma Johnson,Spring,Snowy,Grassland,7.0,25.4,13.3,30.2,88,6.5,41.4
ENV_068,2024-05-15,Grand Canyon NP,Emma Johnson,Spring,Heavy Rain,Alpine,7.1,57.0,6.4,72.0,20,9.8,37.0
ENV_069,2024-10-09,Acadia NP,James Wilson,Autumn,Clear,Urban Fringe,2.4,70.4,21.6,24.5,20,8.4,9.6
ENV_070,2024-09-21,Acadia NP,Grace Kim,Autumn,Foggy,Urban Fringe,9.1,56.9,7.3,28.6,99,4.5,16.7
ENV_071,2024-02-28,Yellowstone NP,Emma Johnson,Winter,Foggy,Desert,-11.8,81.0,44.0,32.9,126,1.0,13.4
ENV_072,2024-02-25,Yosemite Valley,Isabel Torres,Winter,Light Rain,Desert,-6.9,24.1,41.5,41.2,169,8.3,31.6
ENV_073,2024-01-07,Olympic NP,Henry Patel,Winter,Foggy,Desert,-9.7,29.1,77.9,10.5,165,8.8,35.8
ENV_074,2024-05-18,Everglades NP,Bob Martinez,Spring,Light Rain,Forest,5.2,68.6,12.3,46.7,193,3.2,35.6
ENV_075,2024-07-27,Yellowstone NP,Isabel Torres,Summer,Partly Cloudy,Desert,29.6,34.3,48.0,23.6,44,9.5,14.5
ENV_076,2024-07-11,Yosemite Valley,Emma Johnson,Summer,Foggy,Wetland,38.7,82.8,46.4,25.4,178,5.4,8.3
ENV_077,2024-09-16,Zion NP,Grace Kim,Autumn,Light Rain,Wetland,7.5,85.2,78.5,51.9,71,6.3,12.4
ENV_078,2024-07-02,Grand Canyon NP,Grace Kim,Summer,Foggy,Urban Fringe,26.4,81.6,78.5,23.6,136,10.6,7.2
ENV_079,2024-10-11,Yellowstone NP,Bob Martinez,Autumn,Heavy Rain,Desert,15.9,21.2,11.5,79.3,177,10.7,4.7
ENV_080,2024-05-11,Rocky Mountain NP,Frank Okafor,Spring,Snowy,Coastal,15.6,84.5,30.4,45.8,91,6.9,44.5
ENV_081,2024-08-28,Everglades NP,Emma Johnson,Summer,Partly Cloudy,Coastal,30.8,26.8,78.3,30.9,172,7.7,5.9
ENV_082,2024-03-23,Glacier NP,Alice Chen,Spring,Overcast,Wetland,10.1,48.1,11.6,12.6,145,4.5,34.4
ENV_083,2024-03-06,Grand Canyon NP,James Wilson,Spring,Foggy,Grassland,8.0,57.3,46.7,64.9,69,5.1,13.4
ENV_084,2024-05-22,Olympic NP,Isabel Torres,Spring,Partly Cloudy,Forest,5.2,53.1,27.6,82.4,160,3.3,48.1
ENV_085,2024-12-09,Grand Canyon NP,Henry Patel,Winter,Clear,Grassland,-5.9,48.6,28.7,24.2,85,10.9,15.5
ENV_086,2024-11-13,Yosemite Valley,James Wilson,Autumn,Foggy,Desert,6.4,82.5,72.2,53.1,68,6.7,18.3
ENV_087,2024-11-07,Great Smoky Mountains,Bob Martinez,Autumn,Foggy,Coastal,11.9,23.0,63.1,62.6,18,6.4,36.9
ENV_088,2024-02-10,Everglades NP,Carol Singh,Winter,Snowy,Alpine,-8.5,85.7,29.3,33.2,138,10.0,41.7
ENV_089,2024-05-27,Olympic NP,Frank Okafor,Spring,Snowy,Forest,21.1,55.1,6.0,97.1,67,9.5,36.5
ENV_090,2024-07-28,Grand Canyon NP,Alice Chen,Summer,Overcast,Alpine,36.1,29.3,29.5,18.3,182,2.9,19.7
ENV_091,2024-11-12,Yosemite Valley,James Wilson,Autumn,Heavy Rain,Wetland,3.7,88.6,17.7,24.9,26,7.0,23.7
ENV_092,2024-12-10,Yosemite Valley,Alice Chen,Winter,Overcast,Desert,-2.0,28.7,18.8,9.3,147,1.5,23.2
ENV_093,2024-11-24,Acadia NP,Carol Singh,Autumn,Light Rain,Coastal,13.1,27.4,39.1,50.9,114,10.3,14.7
ENV_094,2024-12-12,Everglades NP,Frank Okafor,Winter,Clear,Coastal,-10.7,47.6,72.1,35.6,175,3.9,20.5
ENV_095,2024-04-04,Rocky Mountain NP,David Lee,Spring,Foggy,Coastal,21.1,64.8,1.7,84.2,95,2.7,7.2
ENV_096,2024-10-07,Everglades NP,James Wilson,Autumn,Partly Cloudy,Urban Fringe,3.1,85.2,26.3,70.0,47,8.7,30.2
ENV_097,2024-05-28,Zion NP,Emma Johnson,Spring,Snowy,Grassland,21.7,28.2,69.3,98.9,43,0.2,39.7
ENV_098,2024-04-19,Yosemite Valley,Carol Singh,Spring,Foggy,Desert,10.5,59.5,59.7,25.7,131,4.9,18.7
ENV_099,2024-10-04,Acadia NP,Alice Chen,Autumn,Foggy,Urban Fringe,9.2,88.2,52.7,23.8,87,5.0,48.2
ENV_100,2024-01-16,Rocky Mountain NP,Henry Patel,Winter,Foggy,Desert,1.9,25.5,6.5,34.1,165,1.6,7.2
